"id","residenceId","buildingId","documentType","filetype","documentType","url"
3550345,1721901,41480745,inspection,pdf,inspection,https://documents.bcdn.se/e1/07/3fda1b7c3ea1/Besiktning.pdf
3551759,2175251,,inspection,pdf,inspection,https://documents.bcdn.se/88/1b/260c6edeb3ad/DOKDBEADBACDB994DF58C6270791D5B0339_20241107122145.pdf
3553458,2544888,,inspection,pdf,inspection,https://documents.bcdn.se/cd/e4/0e7b70ad18af/Överlåtelsebesiktning.pdf
3554164,,58407132,inspection,pdf,inspection,https://documents.bcdn.se/a6/58/76b9de44cfb5/Överlåtelsebesiktning.pdf
3555110,2186515,,inspection,pdf,inspection,https://documents.bcdn.se/77/e8/375a2a195108/Besiktningsprotokoll.pdf
3555950,2234739,58430330,inspection,pdf,inspection,https://documents.bcdn.se/d8/cf/a7dd95fe16c8/DOKA691155A4BAB45E9BDD9FE0861975D57.pdf
3556369,,58434911,inspection,pdf,inspection,https://documents.bcdn.se/ae/56/0815f118fc01/DOK80A13CD53BEA46EC8C2D5A3E25A77A7D_20240806140156.pdf
3556748,3267043,,inspection,pdf,inspection,https://documents.bcdn.se/6f/f7/936ca1e3c681/DOK4651FDB483F442E88F125DC098E750B1_20241114114735.pdf
3558207,2169084,2383901,inspection,pdf,inspection,https://documents.bcdn.se/84/04/ce5b437ef0fa/DOK6A5256A3D272439FB37AC588C2758FF2_20241125130200.pdf
3558320,1884265,4464676,inspection,pdf,inspection,https://documents.bcdn.se/38/f3/a8fec635978e/Besiktning-OBJ28414_2076458069.pdf
3558644,,58450457,inspection,pdf,inspection,https://documents.bcdn.se/84/c4/5500d86cc4d3/Överlåtelsebesiktning_2023-08-22.pdf
3560192,2541567,,inspection,pdf,inspection,https://documents.bcdn.se/9a/ce/47ef98867bda/Besiktning_m_m.pdf
3560451,2124942,58383939,inspection,pdf,inspection,https://documents.bcdn.se/d4/d5/7a02186872f6/o50203-17238076032087542159.pdf
3562045,2673714,58478641,inspection,pdf,inspection,https://documents.bcdn.se/20/50/36ac85729cc7/CFIL5I4IKPOMUDJGAMAH_20240818103828.pdf
3563516,2388166,58495241,inspection,pdf,inspection,https://documents.bcdn.se/1f/5b/f37e3bda3b28/Besiktning-OBJ18103_2075584911.pdf
3564262,2527455,,inspection,pdf,inspection,https://documents.bcdn.se/11/8a/57781e41ea74/DOK47F2B28853BE4DF3A3C78C76210E3FC2_20240820085603.pdf
3565244,2600481,58507499,inspection,pdf,inspection,https://documents.bcdn.se/0e/0f/27df0f3a6007/file_DOK5D1E52C7445C4E06992A7AEDD138AC50_2024-08-08T15_51_02.pdf
3565634,3307631,58508980,inspection,pdf,inspection,https://documents.bcdn.se/c6/8e/f13dafb911fc/besiktningsprotokoll_furuva_gen_16.pdf
3568306,1633621,58382000,inspection,pdf,inspection,https://documents.bcdn.se/ba/63/9536b5404aaf/DOK0633F5A9A0E54E82ADB45B07AB2585A1_20240823165420.pdf
3570635,2413159,,inspection,pdf,inspection,https://documents.bcdn.se/1e/1f/64e3b388c08d/af9334a0-400c-11ef-b572-79bfadd99212.pdf
3570927,2159620,58611670,inspection,pdf,inspection,https://documents.bcdn.se/b3/c4/a6443413e757/fetchfile.pdf
3571656,2210640,58558641,inspection,pdf,inspection,https://documents.bcdn.se/ef/4b/ee0b33e1e305/DOKA220BA1566054983A029FE0C412953DB_20240827152420.pdf
3576593,2224516,56510703,inspection,pdf,inspection,https://documents.bcdn.se/af/07/1ff76eafb419/Besiktningsprotokoll-CMVilla5B7C9I7A5ALONCFP.pdf
3577713,2233646,,inspection,pdf,inspection,https://documents.bcdn.se/f7/97/e950c756e99f/kompletteringsbesiktning.pdf
3578677,4134158,,inspection,pdf,inspection,https://documents.bcdn.se/b4/f6/0c42d4ff505a/Besiktningsprotokoll-Lerboda-Alvbacka-1-OBJ12412_2083308175.pdf
3578724,2518534,58728865,inspection,pdf,inspection,https://documents.bcdn.se/ef/a5/091e6c05ceea/DOK1BAF8BAAC8CB4885843ABE841ECACB52.pdf
3579376,3729461,58668865,inspection,pdf,inspection,https://documents.bcdn.se/20/29/c40d1a170c19/besiktningsutlatande---lovasen-9.pdf
3580522,1477096,,inspection,pdf,inspection,https://documents.bcdn.se/80/24/668a501404cd/Överlåtelsebesiktning.pdf
3580982,2067441,,inspection,pdf,inspection,https://documents.bcdn.se/f4/9b/64dbe6f5aa5c/DOKE08832591FDD49D0BF7DD2A9D394A19A_20240905154819.pdf
3581789,2907941,,inspection,pdf,inspection,https://documents.bcdn.se/6d/2c/42a2d9635d33/DOKF4D08B6965E14B8F9E0AD8319FEA3A12_20241115093927.pdf
3582027,3667068,58655118,inspection,pdf,inspection,https://documents.bcdn.se/0f/57/80b5c6bb0436/Besiktning_Meteorvägen_5B_Jär.pdf
3583850,2097082,,inspection,pdf,inspection,https://documents.bcdn.se/7c/07/9e9d075b4a35/DOK8E88D90BD9144F21BF44791CB1B2DF24_20241114134938.pdf
3587144,3727823,,inspection,pdf,inspection,https://documents.bcdn.se/18/56/8eab5c356332/2024-09-03_Överlåtelsebesiktning_Värmdö.pdf
3588693,1874160,33069322,inspection,pdf,inspection,https://documents.bcdn.se/87/48/847c1618e85c/Besiktningsprotokoll-OBJ18103_2075908199.pdf
3589664,3233829,58818371,inspection,pdf,inspection,https://documents.bcdn.se/9c/cd/0c08558176f1/Överlåtelsebesiktning_Vintergatan_42.pdf
3591027,3827313,,inspection,pdf,inspection,https://documents.bcdn.se/2a/78/421d73be1c4e/BesiktningTängstaGläntan.pdf
3592115,,58737800,inspection,pdf,inspection,https://documents.bcdn.se/d9/43/b01dc065874a/S14020-CFIL5IBCCGP4O7S859D5.pdf
3592133,2639605,58675355,inspection,pdf,inspection,https://documents.bcdn.se/c9/1d/93465fbe2957/Informationsblad_förhandsbesiktning_Croi.pdf
3592421,1925822,57920099,inspection,pdf,inspection,https://documents.bcdn.se/f1/24/b132dac408e7/DOKC62207B5CD8947C9A647F8160435A0D8_20241107103726.pdf
3592462,2818894,58739305,inspection,pdf,inspection,https://documents.bcdn.se/17/2b/7582c51cc332/CFIL5I4T0MB1Q9KCVRG7.pdf
3592821,3261754,,inspection,pdf,inspection,https://documents.bcdn.se/c0/2c/bffeb520b5a0/DOK55874CEC81794EA9A70B56BDEC0DBA10_20241114145250.pdf
3592916,4068835,,inspection,pdf,inspection,https://documents.bcdn.se/6b/f9/dacd89353a27/7805014.pdf
3594361,3233829,58818371,inspection,pdf,inspection,https://documents.bcdn.se/8f/59/9a0e48db9042/Överlåtelsebesikting_Gästhus_Vintergata.pdf
3595149,2585844,,inspection,pdf,inspection,https://documents.bcdn.se/6c/ec/9a19baa627d7/b4cdd3a0-ccf0-11ef-9514-6753fa937e94.pdf
3595771,,,inspection,pdf,inspection,https://documents.bcdn.se/29/5b/d8e691904d19/DOK4D6A3E4E3EA142919A2FB1663F82AB69_20240920152230.pdf
3597088,3163010,58745686,inspection,pdf,inspection,https://documents.bcdn.se/bf/cb/52285ba1dfd9/DOK8F225D62385941FFA70A7FAD4DF7A56C_20240922114917.pdf
3597584,,58788438,inspection,pdf,inspection,https://documents.bcdn.se/5d/73/aaf950a74dbb/Besiktning-Sundet-40-OBJ18103_1878080896.pdf
